StateName,RegionName,AVG_2015,AVG_2016,AVG_2017,AVG_2018,AVG_2019,AVG_2020,AVG_2021,AVG_2022,AVG_2023,AVG_2024
AK,Pacific,0.19790846216666666,0.194735898,0.189668177,0.192052669,0.187362412,0.18841191525,0.2027613754702381,0.21162217070833333,0.216886834625,0.218196855375
AL,South,0.20874689663333335,0.21916359944642858,0.22015000108333332,0.21988016566666668,0.21966524272619048,0.21516126666666668,0.22685184254166668,0.2364970967,0.23701544099655647,0.2370508688402778
AR,South,0.1986953774861111,0.21240030579166666,0.21030461616666668,0.2061113574375,0.20482728445833334,0.20462911304166667,0.212057097625,0.23097945655,0.23396456141666666,0.23266516580555555
AZ,West,0.22434305005555555,0.2256602171388889,0.22953345544444442,0.24898128643939393,0.25773125325,0.26767679575000003,0.29286748565000004,0.3010376141342592,0.295894415375,0.2964938132916667
CA,West,0.2817223483787879,0.287809247294686,0.2902597983675889,0.2902114715253623,0.2907031232898551,0.2912412580449087,0.30400015227173915,0.3184412907383333,0.3163127792483974,0.31926573913461537
CO,West,0.2237108096404762,0.2255865976547619,0.22831494776190475,0.22764817213095237,0.22877584261904763,0.2278424578690476,0.23649943854761904,0.2484366621904762,0.24981976223809524,0.2526003220595238
CT,Northeast,0.20378359527083334,0.20418457735416667,0.20534697133333332,0.20730195514583333,0.20943199985416666,0.21217196397916666,0.222799722625,0.23419438116666666,0.23902717020833333,0.24878062920833333
DE,Northeast,0.24799658758333332,0.24733385608333336,0.24964390758333332,0.24955776858333334,0.24857764679166666,0.24583889404166664,0.25968732054166666,0.2707509089583333,0.27345881512500003,0.2807858480416667
FL,Southeast,0.2668029186096491,0.26978650110625,0.2725471359484127,0.27267282077777777,0.2732608159126984,0.2750592695952381,0.3023248441103896,0.33093221193560607,0.3295226014090909,0.32795575401515153
GA,Southeast,0.22437770674905302,0.22126394496296295,0.21450687154166667,0.21519250491666667,0.21724257306666667,0.2252190686969697,0.2493117062847222,0.2592664161758242,0.2556251895714286,0.25778365376785717
HI,Pacific,0.2931769390833333,0.2919368715833333,0.29070530608333334,0.28933032825,0.28833662283333333,0.33808790175000003,0.37646279908333335,0.390051404875,0.38640326270833336,0.404296331625
IA,Midwest,0.18510614141666668,0.18458324935416667,0.18349339455,0.17958270253333333,0.17846757635,0.1767326245,0.17341497241666667,0.1743581173809524,0.18070176367857144,0.18715356351190476
ID,West,0.17142141604166666,0.17711717691666667,0.19384377148484846,0.19817880658333334,0.20046805725,0.20417494827777777,0.2333974077777778,0.23491401619166669,0.22897333321666666,0.23104564636666666
IL,Midwest,0.18803208841666666,0.1766446307661101,0.17666840744791668,0.1740912500625,0.17277343945833332,0.17318140932291667,0.17960072074814815,0.1849034904,0.19353088531818183,0.2044481258712121
IN,Midwest,0.19381457715656564,0.19199953981944445,0.18192916704910714,0.18357172808796296,0.18441690322222223,0.1860606068425926,0.19094366667424242,0.20047764071527777,0.20626685349810606,0.21358507359722223
KS,Midwest,0.18749077316666665,0.19564058297916667,0.19457627852083334,0.19627951227083335,0.19314183527083334,0.19348741035416667,0.20136983945833334,0.207482119375,0.21143106185416666,0.21835286983333332
KY,Southeast,0.19280346083333333,0.1918193715,0.20634911288888888,0.2039571243611111,0.2023888828888889,0.2021370415,0.21062672944444444,0.22444074814583334,0.23419783879166667,0.22762948895666668
LA,South,0.2620658072222222,0.25031474006666665,0.2531516756,0.2454805387,0.23819700426666668,0.23746288925,0.2511520826111111,0.24500594647916668,0.24135159538425927,0.24112408147222222
MA,Northeast,0.24630804223737374,0.24857495294444445,0.2503002984166667,0.25127455744444444,0.253570019325,0.2581425447083333,0.2553367201463636,0.2696091312848485,0.2791841776833333,0.28879479476666664
MD,Northeast,0.19202617580555556,0.19263404936111111,0.19066078755555557,0.1891077551111111,0.18604761527777777,0.18679388677777778,0.19618333266666665,0.20773882025,0.2052380552125,0.2135716691875
ME,Northeast,0.2356274895,0.23840746416666667,0.22854704008333332,0.23019454141666668,0.23690890620833333,0.24114871383333336,0.251051264375,0.24599188955555557,0.24598943200505052,0.25466544441666666
MI,Midwest,0.20673434829166668,0.19792479825,0.20080684002380952,0.204432815109375,0.20628120176041667,0.20813500782386363,0.21142811979555293,0.2197956619781746,0.22316657484145022,0.2312703898685065
MN,Midwest,0.21269616720833334,0.21210240785416667,0.20680815255,0.20327495788333333,0.20244157643333333,0.20091339031666666,0.20434271161666667,0.21110673024999999,0.21283851559722222,0.21532794270833333
MO,Midwest,0.18074255587500002,0.17907283260416668,0.17967131433333333,0.17973154508333333,0.180059169,0.18079633512499999,0.18619587021666667,0.1868398635653989,0.18560334972916667,0.19079968596875
MS,South,0.22248086216666665,0.22800357568750002,0.224580306,0.2248189857083333,0.2287776655,0.23426662145833332,0.247055691,0.25078052333333334,0.2567909222777778,0.26448599916666665
MT,West,0.19342444775,0.18876993791666666,0.18642927172222223,0.18315552805555554,0.18370045769444446,0.18404680752777777,0.20025244530555555,0.21576900338888888,0.21846285944444443,0.22060691147222222
NC,Southeast,0.21892751628030302,0.21851610326515153,0.22010655753030303,0.22183922466666667,0.22518747618939394,0.2253687963030303,0.23863786620979022,0.25359221770952384,0.25529742752222223,0.2575199366611111
ND,Midwest,NA,0.186334623375,0.17605512008333335,0.17446785258333333,0.17592728579166667,0.180616250625,0.180293346375,0.178908569375,0.18229685275000002,0.188764423375
NE,Midwest,0.16603757816666667,0.17104826854166666,0.17201144716666666,0.17316631475,0.17384524904166665,0.17482722954166666,0.18029087479166667,0.18695580633333334,0.191495474625,0.19645703080555554
NH,Northeast,0.1719704665,0.17493508666666666,0.17910245033333333,0.18499232525,0.1949390225,0.1963452405,0.20967147275,0.21642973599999998,0.21619956541666668,0.21647444341666666
NJ,Northeast,0.23816996166666665,0.23845366608333335,0.23544537891666667,0.23831062170833334,0.24016111129166667,0.24476839725,0.25444295883333334,0.27640567225,0.28046671886111113,0.28679870630555554
NM,West,0.23781411841666666,0.23632009547979796,0.24534166030555557,0.2467975591388889,0.25241446380555554,0.2528755166388889,0.26623165805555554,0.27953263533333333,0.2653609973958333,0.26624847933333334
NV,West,0.21975444449999998,0.22371394354166668,0.23300956070833334,0.23949846349999998,0.24320205550000001,0.24309201366666666,0.2691000159583333,0.28033504725,0.2703657262777778,0.26819499983333334
NY,Northeast,0.24441932083333331,0.2315491829652778,0.23193192259722223,0.22253529617857143,0.23510386296875002,0.23646335591875,0.23814903496296297,0.25060432037333336,0.2564229473083333,0.26390505445
OH,Midwest,0.17823855921874998,0.17876752639225588,0.1789537264537037,0.18032300657083333,0.18037735229166668,0.18267187515,0.18896771376666666,0.19324031649900794,0.1967159207934149,0.20280078542857144
OK,South,0.1978135648611111,0.19587123844444446,0.19252948980555556,0.19153108747222222,0.19183614602777777,0.19699061097222223,0.21033845297222223,0.2176679833125,0.2163789743125,0.2197887070625
OR,West,0.23766565851666668,0.24455223708333335,0.24772712123611113,0.2458984148611111,0.2497872945277778,0.25129925905555556,0.2632936897285714,0.26844265766666664,0.270211539825,0.27112060004166666
PA,Northeast,0.18349414664469696,0.1790749739469697,0.1796754579621212,0.17831008127777778,0.1888414959269231,0.1883300349107143,0.1950472675722222,0.20309883762291667,0.20811776697483164,0.2145892645787037
RI,Northeast,0.21868128283333332,0.21834706341666665,0.22173096666666667,0.22414422216666666,0.22730478108333332,0.23220850883333333,0.245128997,0.2601917249166667,0.26727668341666666,0.27669968166666664
SC,Southeast,0.23365613774285715,0.23519498967857141,0.23651159891666668,0.23534415838095238,0.24122160906597223,0.24412750464583333,0.259507736875,0.27784848211458335,0.28019527125,0.2851024909791667
SD,Midwest,NA,0.15591683816666665,0.179543799875,0.17955404229166666,0.17550584466666666,0.17286747570833333,0.17898206645833334,0.19437051054166665,0.19084324975,0.19088854191666665
TN,Southeast,0.22497677015,0.22377113669444443,0.22322840338888889,0.224639598,0.2263088382638889,0.23072049757142857,0.2403577127037037,0.257257633775,0.2641949384583333,0.2693644518416667
TX,South,0.24245355093015875,0.23441507075511694,0.23763035726515153,0.23642060755681818,0.23388415014492753,0.2300443383185112,0.23750497679513888,0.24789640537066668,0.24879918632666667,0.2498744543
US,National,0.26277350008333333,0.26473118191666667,0.26315927333333333,0.2669799503333333,0.2621439869166667,0.26220875225,0.27443680475,0.28806792925,0.28904449541666666,0.29111510275
UT,West,0.19290408575,0.19630814795833332,0.20164472679166667,0.2035046650625,0.20184538602083332,0.20349989252083334,0.21780335925,0.22630085207424241,0.21862772511666667,0.21508092861666667
VA,Southeast,0.20758872921875,0.20574248663541667,0.2068679432604167,0.21121635738666666,0.21360136230833335,0.2170807226,0.226200351025,0.23828690838333333,0.24185561134166667,0.246809025925
VT,Northeast,NA,0.2482603408,0.2593415475,0.25752264999999996,0.2505738161666667,0.24747617183333334,0.25290804425,0.26439733583333336,0.26165739816666667,0.26495383608333334
WA,West,0.20546066675,0.21015276905555555,0.2160930530277778,0.22322648400595238,0.2259561595357143,0.22892927592857143,0.24545379314602273,0.24791365487327824,0.24695725403030303,0.24740179074242424
WI,Midwest,0.20157373845833332,0.17351653022222222,0.1747802496540404,0.1749788991388889,0.17758665475000002,0.1779324727405303,0.17285225189646464,0.16822366116102694,0.1734026449027778,0.17640563938194445
WV,Southeast,NA,0.2260955619166667,0.228068497625,0.2227809366969697,0.216602205375,0.212409001875,0.21763537216666667,0.22163529883333333,0.22554322524999998,0.2141090625909091
WY,West,0.18393566720833332,0.17896010891666667,0.17016260804166666,0.166975916875,0.16956511795833334,0.17650391158333334,0.18400603733333332,0.18889290870833333,0.18970264570833334,0.19475497770833333
