region,statename,avg_2015,avg_2016,avg_2017,avg_2018,avg_2019,avg_2020,avg_2021,avg_2022,avg_2023,avg_2024
West,AK,0.25,0.25,0.25,0.27,0.25,0.23,0.24,0.33,0.35,0.34
Southeast,AL,0.18,0.19,0.19,0.2,0.19,0.18,0.2,0.28,0.29,0.28
Southeast,AL,0.18,0.18,0.18,0.19,0.18,0.17,0.2,0.27,0.28,0.26
Southeast,AL,0.17,0.18,0.18,0.19,0.18,0.17,0.19,0.26,0.28,0.27
Southeast,AL,0.24,0.23,0.23,0.26,0.24,0.23,0.26,0.36,0.39,0.38
Southeast,AR,0.2,0.2,0.2,0.2,0.19,0.18,0.2,0.26,0.27,0.27
Southwest,AZ,0.24,0.24,0.24,0.27,0.25,0.23,0.29,0.4,0.4,0.37
Southwest,AZ,0.24,0.24,0.24,0.27,0.25,0.24,0.28,0.39,0.38,0.36
Southwest,AZ,0.2,0.2,0.21,0.23,0.21,0.19,0.23,0.33,0.33,0.31
Southwest,AZ,0.32,0.33,0.34,0.38,0.36,0.35,0.44,0.62,0.63,0.6
Southwest,AZ,0.21,0.21,0.21,0.23,0.23,0.21,0.24,0.36,0.38,0.36
West,CA,0.47,0.47,0.5,0.56,0.5,0.47,0.52,0.73,0.77,0.74
West,CA,0.48,0.47,0.48,0.53,0.48,0.44,0.5,0.67,0.69,0.66
West,CA,0.32,0.32,0.34,0.37,0.33,0.31,0.36,0.5,0.51,0.49
West,CA,0.42,0.42,0.43,0.46,0.41,0.39,0.44,0.63,0.67,0.65
West,CA,0.32,0.33,0.34,0.37,0.33,0.31,0.36,0.48,0.47,0.45
West,CA,0.48,0.44,0.45,0.58,0.48,0.44,0.5,0.69,0.74,0.74
West,CA,0.28,0.28,0.29,0.32,0.29,0.26,0.3,0.42,0.43,0.42
West,CA,0.39,0.4,0.41,0.44,0.4,0.38,0.42,0.58,0.61,0.58
West,CA,0.31,0.32,0.34,0.37,0.34,0.3,0.35,0.47,0.48,0.45
West,CA,0.27,0.29,0.3,0.33,0.31,0.28,0.32,0.43,0.43,0.41
West,CA,0.44,0.44,0.45,0.5,0.44,0.4,0.43,0.59,0.62,0.58
West,CA,0.25,0.26,0.27,0.28,0.25,0.24,0.27,0.36,0.36,0.34
West,CA,0.3,0.31,0.31,0.34,0.32,0.31,0.35,0.47,0.46,0.43
West,CA,0.47,0.47,0.47,0.51,0.45,0.42,0.48,0.73,0.8,0.77
West,CA,0.43,0.43,0.44,0.47,0.43,0.4,0.45,0.66,0.72,0.69
West,CA,0.44,0.47,0.49,0.53,0.48,0.44,0.49,0.7,0.74,0.7
West,CA,0.27,0.28,0.28,0.31,0.29,0.28,0.34,0.52,0.56,0.54
West,CA,0.56,0.55,0.56,0.61,0.54,0.51,0.58,0.81,0.83,0.77
West,CA,0.34,0.34,0.35,0.37,0.36,0.33,0.37,0.5,0.51,0.47
West,CA,0.3,0.29,0.3,0.31,0.29,0.28,0.31,0.4,0.38,0.36
West,CA,0.27,0.28,0.3,0.32,0.31,0.3,0.35,0.45,0.42,0.4
West,CA,0.27,0.27,0.29,0.3,0.27,0.26,0.3,0.45,0.49,0.47
West,CA,0.23,0.23,0.23,0.26,0.25,0.24,0.27,0.38,0.4,0.38
West,CA,0.46,0.46,0.46,0.49,0.46,0.42,0.47,0.64,0.67,0.62
West,CO,0.27,0.28,0.29,0.32,0.29,0.28,0.31,0.43,0.43,0.41
West,CO,0.29,0.3,0.31,0.34,0.31,0.29,0.33,0.47,0.48,0.44
West,CO,0.34,0.36,0.37,0.39,0.36,0.34,0.39,0.57,0.6,0.56
West,CO,0.24,0.26,0.27,0.3,0.27,0.26,0.3,0.42,0.42,0.39
West,CO,0.24,0.25,0.27,0.29,0.26,0.25,0.29,0.43,0.48,0.47
Northeast,CT,0.24,0.24,0.24,0.25,0.23,0.22,0.23,0.31,0.34,0.34
Northeast,CT,0.33,0.32,0.32,0.34,0.31,0.29,0.32,0.43,0.47,0.45
Northeast,CT,0.26,0.25,0.25,0.27,0.25,0.24,0.25,0.33,0.36,0.36
Northeast,CT,0.24,0.24,0.24,0.25,0.24,0.23,0.24,0.32,0.36,0.36
Northeast,DE,0.26,0.26,0.27,0.28,0.25,0.23,0.26,0.36,0.39,0.39
Southeast,FL,0.21,0.22,0.22,0.25,0.23,0.21,0.26,0.38,0.4,0.41
Southeast,FL,0.24,0.26,0.26,0.27,0.26,0.24,0.27,0.37,0.4,0.38
Southeast,FL,0.25,0.26,0.26,0.28,0.24,0.24,0.28,0.41,0.43,0.48
Southeast,FL,0.21,0.21,0.22,0.24,0.22,0.22,0.27,0.41,0.43,0.4
Southeast,GA,0.2,0.2,0.21,0.23,0.22,0.2,0.23,0.33,0.35,0.33
Southeast,GA,0.23,0.22,0.23,0.25,0.23,0.21,0.23,0.33,0.35,0.34
Southeast,GA,0.19,0.19,0.2,0.19,0.18,0.17,0.19,0.25,0.25,0.24
West,HI,0.4,0.41,0.42,0.47,0.41,0.38,0.42,0.61,0.62,0.6
West,ID,0.23,0.24,0.25,0.28,0.27,0.27,0.34,0.43,0.43,0.4
Midwest,IN,0.38,0.15,0.15,0.17,0.16,0.16,0.18,0.24,0.26,0.25
Northeast,MA,0.33,0.33,0.34,0.37,0.33,0.31,0.34,0.45,0.49,0.48
Northeast,MA,0.25,0.25,0.26,0.28,0.26,0.25,0.28,0.37,0.4,0.39
Northeast,MA,0.27,0.27,0.27,0.29,0.27,0.26,0.28,0.38,0.41,0.41
Northeast,MA,0.34,0.34,0.35,0.37,0.34,0.31,0.38,0.55,0.61,0.59
Northeast,MA,0.27,0.26,0.26,0.28,0.26,0.25,0.26,0.36,0.38,0.37
Northeast,MD,0.24,0.23,0.23,0.24,0.22,0.21,0.23,0.31,0.33,0.31
Northeast,MD,0.2,0.2,0.2,0.21,0.2,0.19,0.22,0.29,0.3,0.29
Northeast,MD,0.22,0.22,0.22,0.22,0.2,0.18,0.2,0.28,0.32,0.31
Northeast,MD,0.17,0.16,0.16,0.17,0.16,0.15,0.17,0.22,0.23,0.22
Northeast,ME,0.26,0.27,0.27,0.3,0.28,0.27,0.3,0.4,0.43,0.41
Northeast,ME,0.22,0.21,0.22,0.24,0.22,0.21,0.23,0.3,0.32,0.31
Northeast,ME,0.22,0.23,0.24,0.25,0.23,0.22,0.26,0.36,0.41,0.39
Midwest,MI,0.18,0.19,0.18,0.2,0.2,0.19,0.2,0.26,0.28,0.28
Midwest,MI,0.19,0.19,0.2,0.22,0.21,0.19,0.22,0.27,0.32,0.31
Midwest,MI,0.17,0.17,0.18,0.19,0.18,0.16,0.19,0.26,0.27,0.26
Midwest,MI,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.21,0.23,0.23
Midwest,MN,0.22,0.22,0.23,0.25,0.23,0.22,0.24,0.31,0.33,0.31
Midwest,MN,0.19,0.18,0.19,0.2,0.19,0.18,0.19,0.26,0.27,0.26
Midwest,MN,0.18,0.19,0.2,0.21,0.2,0.19,0.21,0.29,0.31,0.3
Midwest,MN,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.3,0.32,0.31
Midwest,MN,0.26,0.27,0.28,0.27,0.25,0.23,0.24,0.29,0.3,0.26
Midwest,MN,0.18,0.21,0.22,0.23,0.22,0.21,0.23,0.32,0.35,0.34
Midwest,MO,0.19,0.19,0.19,0.2,0.19,0.18,0.2,0.26,0.27,0.27
Southeast,NC,0.2,0.21,0.21,0.24,0.23,0.22,0.25,0.36,0.38,0.35
Southeast,NC,0.22,0.22,0.22,0.24,0.22,0.21,0.25,0.35,0.36,0.33
Southeast,NC,0.2,0.19,0.2,0.22,0.2,0.19,0.21,0.3,0.32,0.3
Southeast,NC,0.19,0.19,0.19,0.21,0.21,0.19,0.21,0.3,0.32,0.3
Southeast,NC,0.25,0.25,0.25,0.27,0.25,0.23,0.26,0.37,0.38,0.35
Southeast,NC,0.22,0.21,0.21,0.23,0.22,0.19,0.21,0.3,0.31,0.3
Southeast,NC,0.27,0.28,0.29,0.31,0.27,0.26,0.3,0.44,0.47,0.46
Southeast,NC,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.3,0.33,0.31
Southeast,NC,0.17,0.17,0.18,0.19,0.17,0.16,0.16,0.24,0.26,0.24
Northeast,NJ,0.26,0.26,0.26,0.28,0.26,0.25,0.26,0.34,0.37,0.38
West,NV,0.23,0.23,0.25,0.29,0.27,0.25,0.29,0.42,0.41,0.4
West,NV,0.29,0.3,0.31,0.34,0.3,0.28,0.34,0.47,0.48,0.46
West,NV,0.27,0.28,0.29,0.34,0.32,0.3,0.36,0.47,0.46,0.46
Northeast,NY,0.44,0.44,0.45,0.48,0.44,0.41,0.44,0.57,0.59,0.58
Midwest,OH,0.19,0.19,0.19,0.21,0.2,0.19,0.21,0.29,0.31,0.28
Midwest,OH,0.15,0.15,0.15,0.16,0.15,0.14,0.16,0.21,0.24,0.23
Midwest,OH,0.17,0.17,0.17,0.17,0.15,0.15,0.15,0.2,0.2,0.19
Midwest,OH,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.19,0.19,0.18
Midwest,OH,0.12,0.12,0.13,0.13,0.12,0.13,0.14,0.18,0.2,0.19
Southwest,OK,0.19,0.2,0.2,0.21,0.19,0.19,0.21,0.28,0.3,0.31
West,OR,0.31,0.32,0.33,0.35,0.32,0.3,0.34,0.45,0.45,0.43
Northeast,PA,0.22,0.23,0.23,0.25,0.24,0.22,0.23,0.32,0.34,0.33
Northeast,PA,0.18,0.14,0.18,0.18,0.15,0.14,0.15,0.2,0.21,0.23
Northeast,PA,0.25,0.25,0.24,0.19,0.17,0.21,0.24,0.33,0.34,0.33
Northeast,PA,0.19,0.18,0.2,0.21,0.17,0.17,0.21,0.28,0.3,0.31
Northeast,PA,0.19,0.17,0.17,0.2,0.19,0.18,0.2,0.26,0.3,0.29
Northeast,PA,0.22,0.24,0.24,0.21,0.24,0.17,0.23,0.33,0.36,0.35
Northeast,PA,0.29,0.17,0.16,0.22,0.21,0.19,0.21,0.27,0.3,0.29
Northeast,PA,0.17,0.17,0.22,0.22,0.21,0.2,0.22,0.3,0.32,0.31
Northeast,PA,0.17,0.2,0.2,0.21,0.19,0.15,0.2,0.25,0.28,0.26
Northeast,PA,0.21,0.15,0.21,0.22,0.21,0.19,0.22,0.33,0.37,0.36
Northeast,PA,0.2,0.2,0.19,0.24,0.23,0.21,0.23,0.29,0.29,0.27
Northeast,RI,0.3,0.29,0.3,0.32,0.3,0.28,0.31,0.42,0.45,0.45
Southeast,SC,0.17,0.17,0.18,0.19,0.19,0.18,0.19,0.27,0.28,0.27
Southeast,SC,0.25,0.26,0.26,0.27,0.25,0.23,0.27,0.37,0.38,0.41
Southeast,SC,0.25,0.24,0.24,0.26,0.24,0.23,0.26,0.38,0.39,0.35
Southwest,TX,0.23,0.25,0.26,0.27,0.26,0.25,0.27,0.38,0.38,0.36
Southwest,TX,0.23,0.25,0.25,0.26,0.22,0.22,0.25,0.33,0.34,0.3
Southwest,TX,0.23,0.25,0.26,0.28,0.25,0.24,0.26,0.36,0.35,0.3
Southwest,TX,0.28,0.28,0.29,0.3,0.28,0.28,0.35,0.44,0.41,0.38
Southwest,TX,0.24,0.24,0.24,0.25,0.24,0.23,0.25,0.32,0.33,0.32
Southwest,TX,0.21,0.21,0.21,0.24,0.23,0.22,0.24,0.33,0.31,0.28
Southwest,TX,0.23,0.23,0.24,0.26,0.25,0.23,0.25,0.32,0.32,0.3
Southwest,TX,0.2,0.19,0.2,0.22,0.22,0.21,0.22,0.27,0.26,0.25
Southwest,TX,0.21,0.22,0.24,0.24,0.21,0.2,0.22,0.31,0.32,0.3
Southwest,TX,0.2,0.21,0.2,0.22,0.21,0.19,0.21,0.27,0.28,0.26
Southwest,TX,0.21,0.22,0.24,0.26,0.23,0.19,0.24,0.33,0.34,0.32
Southwest,TX,0.19,0.2,0.2,0.22,0.2,0.2,0.21,0.28,0.29,0.28
Southwest,TX,0.33,0.34,0.34,0.34,0.32,0.26,0.33,0.45,0.49,0.43
Southwest,TX,0.19,0.19,0.19,0.21,0.2,0.19,0.18,0.27,0.27,0.26
Southwest,TX,0.21,0.21,0.22,0.24,0.23,0.22,0.23,0.28,0.27,0.27
Southwest,TX,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.24,0.23,0.23
Southwest,TX,0.21,0.2,0.19,0.21,0.2,0.2,0.22,0.3,0.3,0.29
Southwest,TX,0.2,0.21,0.22,0.25,0.24,0.19,0.25,0.35,0.35,0.36
United States,United States,0.23,0.23,0.24,0.26,0.24,0.23,0.26,0.35,0.37,0.35
Southeast,VA,0.25,0.25,0.25,0.27,0.25,0.23,0.25,0.34,0.35,0.34
Southeast,VA,0.24,0.23,0.23,0.25,0.23,0.22,0.24,0.33,0.35,0.33
Southeast,VA,0.21,0.21,0.21,0.23,0.21,0.21,0.22,0.32,0.34,0.32
Southeast,VA,0.2,0.2,0.2,0.21,0.2,0.2,0.22,0.31,0.33,0.32
Southeast,VA,0.2,0.2,0.2,0.21,0.19,0.18,0.2,0.28,0.3,0.29
Southeast,VA,0.26,0.25,0.24,0.27,0.25,0.24,0.26,0.35,0.37,0.36
Southeast,VA,0.21,0.2,0.21,0.23,0.2,0.21,0.23,0.32,0.33,0.32
Southeast,VA,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.31,0.34,0.32
Southeast,VA,0.22,0.22,0.22,0.24,0.21,0.2,0.22,0.3,0.32,0.33
Southeast,VA,0.23,0.23,0.24,0.27,0.25,0.24,0.25,0.35,0.36,0.36
Midwest,,0.1935294117647059,0.1823529411764706,0.1864705882352941,0.19647058823529412,0.18529411764705883,0.1776470588235294,0.1941176470588235,0.25529411764705884,0.2735294117647059,0.26176470588235295
Northeast,,0.24548387096774194,0.23774193548387096,0.24483870967741936,0.2593548387096774,0.24064516129032257,0.22548387096774195,0.25161290322580643,0.33903225806451615,0.3667741935483871,0.35870967741935483
Southeast,,0.21470588235294116,0.21500000000000002,0.21764705882352942,0.23441176470588235,0.21794117647058825,0.20676470588235296,0.23088235294117648,0.3264705882352941,0.3438235294117647,0.33235294117647063
Southwest,,0.22375,0.22875,0.2333333333333333,0.25125000000000003,0.2354166666666667,0.22083333333333333,0.2525,0.34208333333333335,0.3441666666666667,0.325
United States,,0.23,0.23,0.24,0.26,0.24,0.23,0.26,0.35,0.37,0.35
West,,0.3369444444444445,0.3416666666666667,0.3525,0.3863888888888889,0.35111111111111115,0.3288888888888889,0.37444444444444447,0.5211111111111111,0.5380555555555556,0.5130555555555555
